Location,StartDate,LastUpdate,Type,Description,Owner
1950 Oxford St,02/17/2022,03/27/2023,State / County,"On this project at 1950 Oxford St, Berkeley, CA 94704 there have been 0 permits filed, 5 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",The Regents of University California
2145 University Ave,03/03/2022,03/02/2023,Commercial,"On this project at 2145 University Ave, Berkeley, CA 94704 there have been 0 permits filed, 3 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 1 lien filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",1Life Healthcare Inc.
2028 Bancroft Way,03/18/2022,07/05/2023,Commercial,"On this project at 2028 Bancroft Way, Berkeley, CA 94704 there have been 0 permits filed, 4 preliminary notices  exchanged, 7 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2590 Bancroft Way,03/17/2022,06/23/2023,Residential,"On this project at 2590 Bancroft Way, Berkeley, CA 94704 there have been 0 permits filed, 10 preliminary notices  exchanged, 23 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
1951 Shattuck Ave,04/05/2022,06/29/2023,Commercial,"On this project at 1951 Shattuck Ave, Berkeley, CA 94704 there have been 0 permits filed, 13 preliminary notices  exchanged, 6 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.","1951 Shattuck, LLC"
640 Santa Barbara Rd,03/25/2022,05/17/2022,Residential,"On this project at 640 Santa Barbara Rd, Berkeley, CA 94707 there have been 0 permits filed, 2 preliminary notices  exchanged, 2 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
1970 Oxford St,04/01/2022,04/05/2022,Commercial,"On this project at 1970 Oxford St, Berkeley, CA 94704 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",University of California Berkeley
2425 Stuart St,05/04/2022,02/25/2023,Federal,"On this project at 2425 Stuart St, Berkeley, CA 94705 there have been 0 permits filed, 3 preliminary notices  exchanged, 12 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Berkeley Unified School District
2099 Martin Luther King Jr Way,05/11/2022,07/08/2023,Commercial,"On this project at 2099 Martin Luther King Jr Way, Berkeley, CA 94704 there have been 2 permits filed, 14 preliminary notices  exchanged, 27 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
1057 eastshore hwy,04/25/2018,10/04/2022,Commercial,"On this project at 1057 eastshore hwy, Berkeley, CA 94710 there have been 0 permits filed, 3 preliminary notices  exchanged, 8 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
1789 4th St Space B,02/09/2021,03/02/2021,Commercial,"On this project at 1789 4th St Space B, Berkeley, CA 94710 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.", Herman Miller Inc.
7 Gauss Way,10/26/2020,04/12/2021,State / County,"On this project at 7 Gauss Way, Berkeley, CA 94720 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",University of California Berkeley
1980 Allston Way,04/26/2018,06/01/2018,Commercial,"On this project at 1980 Allston Way, Berkeley, CA 94704 there have been 0 permits filed, 3 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Berkeley Unified School District
2666-2688 Bancroft Way Kroeber Hall,04/28/2021,05/03/2021,State / County,"On this project at 2666-2688 Bancroft Way Kroeber Hall, Berkeley, CA 94720 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",University of California Berkeley
540 Cleveland Ave,04/25/2018,04/25/2018,State / County,"On this project at 540 Cleveland Ave, Berkeley, CA 94710 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",City of Albany (CA)
1518 martin luther king jr way,04/05/2018,01/04/2021,Commercial,"On this project at 1518 martin luther king jr way, Berkeley, CA 94709 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 1 lien filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2495 Bancroft Way,04/26/2018,12/04/2018,Commercial,"On this project at 2495 Bancroft Way, Berkeley, CA 94720 there have been 0 permits filed, 1 preliminary notice  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",The Regents of University California
2150 Berkeley Way,04/24/2018,04/25/2018,Commercial,"On this project at 2150 Berkeley Way, Berkeley, CA 94704 there have been 0 permits filed, 4 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",The Regents of University California
2701 8th St,05/23/2013,04/26/2018,Commercial,"On this project at 2701 8th St, Berkeley, CA 94710 there have been 0 permits filed, 1 preliminary notice  exchanged, 0 lien waivers exchanged between companies and 1 lien filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
Ave,03/23/2012,06/27/2023,Federal,"On this project at Ave, Berkeley, CA 94720 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 1 lien filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",The Regents of University California
2123 University Ave,01/11/2021,03/09/2021,Commercial,"On this project at 2123 University Ave, Berkeley, CA 94704 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2301 Bancroft Way,03/01/2021,10/03/2022,State / County,"On this project at 2301 Bancroft Way, Berkeley, CA 94720 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",University of California Berkeley
1200 Sixth St,11/18/2021,09/22/2022,Commercial,"On this project at 1200 Sixth St, Berkeley, CA 94710 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2441 Haste St,04/26/2018,04/26/2018,Commercial,"On this project at 2441 Haste St, Berkeley, CA 94704 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",ROEM Development Corporation
2010 Milvia St,05/05/2022,09/06/2022,Commercial,"On this project at 2010 Milvia St, Berkeley, CA 94704 there have been 0 permits filed, 3 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.","Landmark Collegiate Development, LLC"
1036 Ashby Ave,02/14/2019,09/17/2019,Commercial,"On this project at 1036 Ashby Ave, Berkeley, CA 94710 there have been 0 permits filed, 1 preliminary notice  exchanged, 1 lien waiver exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Read Investments
2701 Shattuck Ave,08/26/2022,03/27/2023,Residential,"On this project at 2701 Shattuck Ave, Berkeley, CA 94705 there have been 1 permit filed, 3 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
1001 Camelia St,09/02/2021,01/03/2023,Commercial,"On this project at 1001 Camelia St, Berkeley, CA 94710 there have been 0 permits filed, 5 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2370 Shattuck Ave,04/13/2022,08/29/2022,Residential,"On this project at 2370 Shattuck Ave, Berkeley, CA 94704 there have been 0 permits filed, 3 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.","CA AG Logan Park Property Owner, LLC"
1952 Oxford St,05/19/2022,07/07/2023,State / County,"On this project at 1952 Oxford St, Berkeley, CA 94720 there have been 0 permits filed, 2 preliminary notices  exchanged, 3 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",The Regents of University California
1705 Eastshore Hwy,04/26/2018,10/04/2022,Commercial,"On this project at 1705 Eastshore Hwy, Berkeley, CA 94710 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Kaiser Foundation Health Plan
2434 San Pablo Ave,09/19/2022,06/12/2023,Commercial,"On this project at 2434 San Pablo Ave, Berkeley, CA 94702 there have been 0 permits filed, 4 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
41 Somerset Pl,10/10/2019,06/30/2022,State / County,"On this project at 41 Somerset Pl, Berkeley, CA 94707 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",City of Berkeley
2000 Carleton St,09/13/2022,03/23/2023,Commercial,"On this project at 2000 Carleton St, Berkeley, CA 94720 there have been 0 permits filed, 3 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",University of California Berkeley
99 The Plaza Dr,04/24/2018,10/16/2022,Residential,"On this project at 99 The Plaza Dr, Berkeley, CA 94705 there have been 0 permits filed, 2 preliminary notices  exchanged, 2 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
Gilman St,07/20/2021,05/25/2023,State / County,"On this project at Gilman St, Berkeley, CA 94710 there have been 0 permits filed, 3 preliminary notices  exchanged, 9 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Caltrans (California Dept. Of Transportation)
1442 5th St,07/26/2022,10/06/2022,Commercial,"On this project at 1442 5th St, Berkeley, CA 94710 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2000 University Ave,07/28/2022,06/05/2023,Commercial,"On this project at 2000 University Ave, Berkeley, CA 94704 there have been 0 permits filed, 2 preliminary notices  exchanged, 5 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Read Investments
2129 Center St,05/27/2022,06/20/2022,,"On this project at 2129 Center St, Berkeley, CA 94704 there have been 0 permits filed, 0 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 3 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2527 San Pablo Ave,08/23/2022,06/16/2023,Commercial,"On this project at 2527 San Pablo Ave, Berkeley, CA 94702 there have been 0 permits filed, 16 preliminary notices  exchanged, 20 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Satellite Affordable Housing Associates (SAHA)
90 Parnassus Rd,04/24/2018,05/08/2018,Residential,"On this project at 90 Parnassus Rd, Berkeley, CA 94708 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
1609 8th St,01/09/2019,01/16/2019,Residential,"On this project at 1609 8th St, Berkeley, CA 94710 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
1363 Summit Rd,04/25/2018,01/23/2019,Commercial,"On this project at 1363 Summit Rd, Berkeley, CA 94708 there have been 0 permits filed, 3 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",East Bay Municipal Utility District
2707 Parker St,04/25/2018,04/25/2018,Residential,"On this project at 2707 Parker St, Berkeley, CA 94704 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
1351 Scenic Ave,10/02/2018,02/06/2019,Residential,"On this project at 1351 Scenic Ave, Berkeley, CA 94708 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2257 Glen Ave,12/04/2018,06/05/2019,Residential,"On this project at 2257 Glen Ave, Berkeley, CA 94709 there have been 0 permits filed, 3 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
800 Dwight Cres,01/27/2020,08/12/2021,Commercial,"On this project at 800 Dwight Cres, Berkeley, CA 94710 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Bayer CropScience LP
1450 6th St,10/15/2020,05/14/2021,Commercial,"On this project at 1450 6th St, Berkeley, CA 94710 there have been 0 permits filed, 0 preliminary notices  exchanged, 3 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
1427 10th St,09/16/2020,10/23/2020,Residential,"On this project at 1427 10th St, Berkeley, CA 94710 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2412 Woolsey St,02/23/2022,05/02/2022,Residential,"On this project at 2412 Woolsey St, Berkeley, CA 94705 there have been 0 permits filed, 3 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
1001 Eastshore Hwy,01/20/2021,02/23/2022,Commercial,"On this project at 1001 Eastshore Hwy, Berkeley, CA 94710 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
1710 4th St,02/23/2021,07/13/2022,Commercial,"On this project at 1710 4th St, Berkeley, CA 94710 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Federal Realty Investment Trust
1511 Martin Luther King Jr Way,05/07/2021,02/18/2022,Residential,"On this project at 1511 Martin Luther King Jr Way, Berkeley, CA 94709 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
1225 Sixth St,05/20/2021,06/15/2022,Commercial,"On this project at 1225 Sixth St, Berkeley, CA 94710 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
1879 Catalina Ave,10/18/2021,11/23/2021,Residential,"On this project at 1879 Catalina Ave, Berkeley, CA 94707 there have been 0 permits filed, 1 preliminary notice  exchanged, 2 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2637 Piedmont Ave,10/25/2021,12/22/2021,Residential,"On this project at 2637 Piedmont Ave, Berkeley, CA 94704 there have been 0 permits filed, 1 preliminary notice  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2929 7th St Ste 120,06/30/2021,10/12/2021,Commercial,"On this project at 2929 7th St Ste 120, Berkeley, CA 94710 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",2929 Seventh Street LLC
2600 10th St Ste 700,03/24/2020,08/20/2021,Commercial,"On this project at 2600 10th St Ste 700, Berkeley, CA 94710 there have been 0 permits filed, 1 preliminary notice  exchanged, 2 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
1677 Arch St,02/03/2022,02/28/2022,Commercial,"On this project at 1677 Arch St, Berkeley, CA 94709 there have been 0 permits filed, 1 preliminary notice  exchanged, 1 lien waiver exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
924 Mendocino Ave,04/04/2022,09/16/2022,Owner Occupied Residential,"On this project at 924 Mendocino Ave, Berkeley, CA 94707 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
Front Road,10/08/2020,09/09/2021,Commercial,"On this project at Front Road, Berkeley, CA 94709 there have been 0 permits filed, 1 preliminary notice  exchanged, 6 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",University of California Berkeley
bancroft way & bolivar dr,06/23/2022,07/07/2022,Commercial,"On this project at bancroft way & bolivar dr, Berkeley, CA 94710 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Aquatic Park Science Center II LLC
1870 San Ramon Ave,09/17/2021,11/04/2021,Residential,"On this project at 1870 San Ramon Ave, Berkeley, CA 94707 there have been 0 permits filed, 1 preliminary notice  exchanged, 1 lien waiver exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
750 Potter St,04/25/2018,12/15/2022,Commercial,"On this project at 750 Potter St, Berkeley, CA 94710 there have been 0 permits filed, 3 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
1151 6th St,10/28/2021,02/13/2023,Commercial,"On this project at 1151 6th St, Berkeley, CA 94710 there have been 0 permits filed, 2 preliminary notices  exchanged, 1 lien waiver exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2400 Ridge Rd,10/11/2022,07/11/2023,Commercial,"On this project at 2400 Ridge Rd, Berkeley, CA 94709 there have been 0 permits filed, 1 preliminary notice  exchanged, 14 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
760 Hearst Ave,10/12/2022,05/31/2023,Commercial,"On this project at 760 Hearst Ave, Berkeley, CA 94710 there have been 0 permits filed, 6 preliminary notices  exchanged, 17 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Jamestown 
2440 Shattuck Ave,10/21/2022,07/06/2023,Commercial,"On this project at 2440 Shattuck Ave, Berkeley, CA 94704 there have been 1 permit filed, 8 preliminary notices  exchanged, 10 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
1440 4th St,08/17/2022,11/13/2022,Commercial,"On this project at 1440 4th St, Berkeley, CA 94710 there have been 2 permits filed, 0 preliminary notices  exchanged, 1 lien waiver exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
Berkeley CA 94710-1358,06/17/2022,11/14/2022,Commercial,"On this project at Berkeley CA 94710-1358, Berkeley, CA 94710 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Pacific Gas and Electric Company
1 cyclotron rd building 79,12/28/2020,01/29/2023,State / County,"On this project at 1 cyclotron rd building 79, Berkeley, CA 94720 there have been 0 permits filed, 1 preliminary notice  exchanged, 2 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
614 Bancroft Way,05/19/2022,07/03/2023,Commercial,"On this project at 614 Bancroft Way, Berkeley, CA 94710 there have been 0 permits filed, 3 preliminary notices  exchanged, 4 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.","600 Bancroft Owner, LP"
716 Allston Way,10/25/2022,04/19/2023,Commercial,"On this project at 716 Allston Way, Berkeley, CA 94710 there have been 0 permits filed, 3 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",SteelWave LLC
1801 SHATTUCK AVE,10/18/2022,05/19/2023,Commercial,"On this project at 1801 SHATTUCK AVE, Berkeley, CA 94709 there have been 0 permits filed, 3 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2712 Prince St,10/06/2022,11/28/2022,Residential,"On this project at 2712 Prince St, Berkeley, CA 94705 there have been 0 permits filed, 1 preliminary notice  exchanged, 1 lien waiver exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2020 4th St,11/25/2020,03/02/2022,Commercial,"On this project at 2020 4th St, Berkeley, CA 94710 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Essex Property Trust
2895 7th St,11/21/2022,03/22/2023,Commercial,"On this project at 2895 7th St, Berkeley, CA 94710 there have been 0 permits filed, 4 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Emery Station Joint Venture LLC
2870 Adeline St,12/14/2021,07/10/2023,Commercial,"On this project at 2870 Adeline St, Berkeley, CA 94703 there have been 0 permits filed, 4 preliminary notices  exchanged, 2 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2506 Channing Way,01/20/2022,05/26/2023,Commercial,"On this project at 2506 Channing Way, Berkeley, CA 94704 there have been 0 permits filed, 5 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2195 Hearst Ave,11/23/2020,03/10/2023,State / County,"On this project at 2195 Hearst Ave, Berkeley, CA 94720 there have been 0 permits filed, 3 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",University of California Berkeley
770 page st,05/25/2022,06/10/2022,Commercial,"On this project at 770 page st, Berkeley, CA 94710 there have been 0 permits filed, 1 preliminary notice  exchanged, 0 lien waivers exchanged between companies and 1 lien filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2556 Haste St,06/23/2022,03/24/2023,State / County,"On this project at 2556 Haste St, Berkeley, CA 94704 there have been 0 permits filed, 5 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",University of California Berkeley
2227 Piedmont Ave,05/09/2019,01/31/2023,State / County,"On this project at 2227 Piedmont Ave, Berkeley, CA 94720 there have been 0 permits filed, 3 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",University of California Berkeley
hwy 80 & gilman interchange,10/07/2022,02/13/2023,Commercial,"On this project at hwy 80 & gilman interchange, Berkeley, CA 94710 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Caltrans (California Dept. Of Transportation)
2109 University Ave,08/16/2022,04/21/2023,Commercial,"On this project at 2109 University Ave, Berkeley, CA 94704 there have been 1 permit filed, 1 preliminary notice  exchanged, 1 lien waiver exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2350 5th St,01/03/2023,03/17/2023,State / County,"On this project at 2350 5th St, Berkeley, CA 94710 there have been 0 permits filed, 3 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",City of Alameda (CA)
776 PAGE ST,11/18/2022,01/09/2023,Commercial,"On this project at 776 PAGE ST, Berkeley, CA 94710 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2200 4th St,01/09/2023,03/10/2023,Commercial,"On this project at 2200 4th St, Berkeley, CA 94710 there have been 0 permits filed, 3 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",SteelWave LLC
